"PORTAL";"URL_ANUNCIO";"COD_POSTAL";"MUNICIPIO";"DISTRITO";"BARRIO";"PRECIO";"M2";"FECHA_PROCESADO"
idealista;http://www.idealista.com/2253235;"28027";Madrid;Ciudad Lineal;Concepción;"420";"30";"2017-11-01"
idealista;http://www.idealista.com/2253574;"28033";Madrid;Hortaleza;Pinar del Rey;"6000";"647";"2017-11-01"
idealista;http://www.idealista.com/2253601;"28022";Madrid;San Blas;Canillejas;"1300";"135";"2017-11-01"
idealista;http://www.idealista.com/2253757;"28341";Valdemoro;Centro;;"700";"120";"2017-11-01"
idealista;http://www.idealista.com/2254238;"28924";Alcorcón;Parque Lisboa - La Paz;Parque Lisboa - La Paz;"400";"40";"2017-11-01"
idealista;http://www.idealista.com/2254397;"28770";Colmenar Viejo;Centro;;"600";"90";"2017-11-01"
idealista;http://www.idealista.com/2254716;"28850";Torrejón de Ardoz;Sureste;;"1600";"390";"2017-11-01"
idealista;http://www.idealista.com/2254720;"28850";Torrejón de Ardoz;Sureste;;"1600";"390";"2017-11-01"
idealista;http://www.idealista.com/2254792;"28850";Torrejón de Ardoz;Sureste;;"1600";"390";"2017-11-01"
idealista;http://www.idealista.com/2254864;"28119";Algete;;;"3500";"1010";"2017-11-01"
idealista;http://www.idealista.com/2254926;"28850";Torrejón de Ardoz;Sureste;;"1600";"390";"2017-11-01"
idealista;http://www.idealista.com/2254931;"28850";Torrejón de Ardoz;Sureste;;"1600";"390";"2017-11-01"
idealista;http://www.idealista.com/2256344;"28012";Madrid;Centro;Lavapiés-Embajadores;"2750";"390";"2017-11-01"
idealista;http://www.idealista.com/2256658;"28231";Las Rozas de Madrid;Rozas Centro;Zona Auditorio;"995";"129";"2017-11-01"
idealista;http://www.idealista.com/2257525;"28912";Leganés;Centro;Flores;"500";"60";"2017-11-01"
idealista;http://www.idealista.com/2257655;"28911";Leganés;Centro;Vírgenes;"1000";"170";"2017-11-01"
idealista;http://www.idealista.com/2257869;"28034";Madrid;Fuencarral;Tres Olivos - Valverde;"1000";"165";"2017-11-01"
idealista;http://www.idealista.com/2257949;"28119";Algete;;;"4000";"1500";"2017-11-01"
idealista;http://www.idealista.com/2257979;"28935";Móstoles;El Soto - Coveta;;"400";"60";"2017-11-01"
idealista;http://www.idealista.com/2258192;"28710";El Molar;;;"1225";"118";"2017-11-01"
idealista;http://www.idealista.com/2258632;"28983";Parla;Parla Este;;"700";"115";"2017-11-01"
idealista;http://www.idealista.com/2258959;"28035";Madrid;Fuencarral;Peñagrande;"1500";"300";"2017-11-01"
idealista;http://www.idealista.com/2259107;"28933";Móstoles;Norte - Universidad;;"600";"80";"2017-11-01"
idealista;http://www.idealista.com/2259224;"28946";Fuenlabrada;Sudeste Industrial;;"3800";"1100";"2017-11-01"
idealista;http://www.idealista.com/2259749;"28703";San Sebastián de los Reyes;Pol. Industrial sur;;"8000";"1760";"2017-11-01"
idealista;http://www.idealista.com/2260947;"28914";Leganés;Las Dehesillas - Vereda de los Estudiantes;Las Dehesillas-Vereda de los Estudiantes;"12000";"2850";"2017-11-01"
idealista;http://www.idealista.com/2261833;"28770";Colmenar Viejo;San Crispín - La Estación Consorcio;;"1900";"401";"2017-11-01"
idealista;http://www.idealista.com/2262395;"28017";Madrid;Ciudad Lineal;Ventas;"370";"25";"2017-11-01"
idealista;http://www.idealista.com/2262490;"28863";Cobeña;;;"2000";"673";"2017-11-01"
idealista;http://www.idealista.com/2263446;"28342";Valdemoro;Hospital;;"250";"50";"2017-11-01"
idealista;http://www.idealista.com/2264121;"28024";Madrid;Latina;Aluche;"450";"50";"2017-11-01"
idealista;http://www.idealista.com/2264747;"28017";Madrid;Ciudad Lineal;Pueblo Nuevo;"750";"100";"2017-11-01"
idealista;http://www.idealista.com/2264920;"28823";Coslada;Barrio de la Estación;;"1200";"210";"2017-11-01"
idealista;http://www.idealista.com/2264941;"28863";Cobeña;;;"2500";"650";"2017-11-01"
idealista;http://www.idealista.com/2265159;"28029";Madrid;Fuencarral;Pilar;"400";"50";"2017-11-01"
idealista;http://www.idealista.com/2265210;"28823";Coslada;Barrio de la Estación;;"1000";"173";"2017-11-01"
idealista;http://www.idealista.com/2265223;"28823";Coslada;Valleaguado - La Cañada;;"1000";"173";"2017-11-01"
